"state","county","precinct","office","candidate","party","votes"
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","No - Statewide Amendment No. 4","No party",96
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","CIRCUIT CLERK, DeKALB COUNTY","Pam Bailey Simpson","Democratic",129
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","CIRCUIT CLERK, DeKALB COUNTY","Todd Greeson","Republican",407
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","CIRCUIT CLERK, DeKALB COUNTY","Write-In","No party",1
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","DeKALB COUNTY JUDGE OF PROBATE","Ronnie Osborn","Republican",493
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","DeKALB COUNTY JUDGE OF PROBATE","Write-In","No party",1
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","PRESIDENT, DeKALB COUNTY COMMISSION","Ben Johnston","Democratic",78
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","PRESIDENT, DeKALB COUNTY COMMISSION","Ricky Harcrow","Republican",456
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","PRESIDENT, DeKALB COUNTY COMMISSION","Write-In","No party",1
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 3","Chris Kuykendall","Republican",471
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 3","Write-In","No party",3
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","DeKALB COUNTY SHERIFF","John Baker","Democratic",51
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","DeKALB COUNTY SHERIFF","Nick Welden","Republican",487
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","DeKALB COUNTY SHERIFF","Write-In","No party",0
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","MEMBER, DeKALB COUNTY BOARD OF EDUCATION, DISTRICT NO. 3","Carol Hiett","Republican",470
"Alabama","DeKalb","DOGTOWN MASONIC LODGE","MEMBER, DeKALB COUNTY BOARD OF EDUCATION, DISTRICT NO. 3","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STRAIGHT PARTY","Alabama Democratic Party","Democratic",4
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STRAIGHT PARTY","Alabama Republican Party","Republican",50
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Lee Auman","Democratic",12
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",82
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","GOVERNOR","Walt Maddox","Democratic",16
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","GOVERNOR","Kay Ivey","Republican",78
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","LIEUTENANT GOVERNOR","Will Boyd","Democratic",12
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",82
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","LIEUTENANT GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ATTORNEY GENERAL","Joseph Siegelman","Democratic",15
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ATTORNEY GENERAL","Steve Marshall","Republican",79
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ATTORNEY GENERAL","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","CHIEF JUSTICE OF THE SUPREME COURT","Bob Vance, Jr.","Democratic",16
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","CHIEF JUSTICE OF THE SUPREME COURT","Tom Parker","Republican",76
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","CHIEF JUSTICE OF THE SUPREME COURT","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Sarah Hicks Stewart","Republican",79
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Tommy Bryan","Republican",80
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Will Sellers","Republican",80
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Donna Wesson Smalley","Democratic",12
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Jay Mitchell","Republican",77
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STATE TREASURER","John McMillan","Republican",79
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STATE TREASURER","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Rick Pate","Republican",79
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","SECRETARY OF STATE","Heather Milam","Democratic",8
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","SECRETARY OF STATE","John H. Merrill","Republican",84
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","SECRETARY OF STATE","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STATE AUDITOR","Miranda Karrine Joseph","Democratic",15
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STATE AUDITOR","Jim Zeigler","Republican",77
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STATE AUDITOR","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Christy Olinger Edwards","Republican",80
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Chad Hanson","Republican",79
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Terry A. Moore","Republican",80
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Richard Minor","Republican",79
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Chris McCool","Republican",80
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Bill Cole","Republican",79
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PUBLIC SERVICE COMMISSION, PLACE 1","Cara Y. McClure","Democratic",14
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PUBLIC SERVICE COMMISSION, PLACE 1","Jeremy H. Oden","Republican",78
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PUBLIC SERVICE COMMISSION, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PUBLIC SERVICE COMMISSION, PLACE 2","Kari Powell","Democratic",13
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PUBLIC SERVICE COMMISSION, PLACE 2","Chris ""Chip"" Beeker Jr.","Republican",77
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PUBLIC SERVICE COMMISSION, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STATE BOARD OF EDUCATION MEMBER DISTRICT 6","Cynthia McCarty","Republican",80
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STATE BOARD OF EDUCATION MEMBER DISTRICT 6","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Shaunathan Bell","Republican",82
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Andrew Hairston","Republican",86
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STATE SENATOR, DISTRICT 8","Steve Livingston","Republican",86
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STATE SENATOR, DISTRICT 8","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STATE REPRESENTATIVE, DISTRICT 24","Nathaniel Ledbetter","Republican",84
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","STATE REPRESENTATIVE, DISTRICT 24","Write-In","No party",2
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","Yes - Statewide Amendment No. 1","No party",74
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","No - Statewide Amendment No. 1","No party",14
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","Yes - Statewide Amendment No. 2","No party",62
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","No - Statewide Amendment No. 2","No party",25
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","Yes - Statewide Amendment No. 3","No party",57
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","No - Statewide Amendment No. 3","No party",22
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","Yes -Statewide Amendment No. 4","No party",71
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","No - Statewide Amendment No. 4","No party",11
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","CIRCUIT CLERK, DeKALB COUNTY","Pam Bailey Simpson","Democratic",35
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","CIRCUIT CLERK, DeKALB COUNTY","Todd Greeson","Republican",58
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","CIRCUIT CLERK, DeKALB COUNTY","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","DeKALB COUNTY JUDGE OF PROBATE","Ronnie Osborn","Republican",88
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","DeKALB COUNTY JUDGE OF PROBATE","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PRESIDENT, DeKALB COUNTY COMMISSION","Ben Johnston","Democratic",17
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PRESIDENT, DeKALB COUNTY COMMISSION","Ricky Harcrow","Republican",76
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","PRESIDENT, DeKALB COUNTY COMMISSION","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","DeKALB COUNTY SHERIFF","John Baker","Democratic",11
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","DeKALB COUNTY SHERIFF","Nick Welden","Republican",78
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 112","DeKALB COUNTY SHERIFF","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STRAIGHT PARTY","Alabama Democratic Party","Democratic",27
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STRAIGHT PARTY","Alabama Republican Party","Republican",178
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Lee Auman","Democratic",56
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",275
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","GOVERNOR","Walt Maddox","Democratic",61
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","GOVERNOR","Kay Ivey","Republican",283
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","LIEUTENANT GOVERNOR","Will Boyd","Democratic",41
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",290
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","LIEUTENANT GOVERNOR","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ATTORNEY GENERAL","Joseph Siegelman","Democratic",53
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ATTORNEY GENERAL","Steve Marshall","Republican",288
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ATTORNEY GENERAL","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","CHIEF JUSTICE OF THE SUPREME COURT","Bob Vance, Jr.","Democratic",55
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","CHIEF JUSTICE OF THE SUPREME COURT","Tom Parker","Republican",278
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","CHIEF JUSTICE OF THE SUPREME COURT","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Sarah Hicks Stewart","Republican",279
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Write-In","No party",2
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Tommy Bryan","Republican",279
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Will Sellers","Republican",280
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Donna Wesson Smalley","Democratic",46
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Jay Mitchell","Republican",278
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STATE TREASURER","John McMillan","Republican",278
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STATE TREASURER","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Rick Pate","Republican",280
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","SECRETARY OF STATE","Heather Milam","Democratic",47
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","SECRETARY OF STATE","John H. Merrill","Republican",288
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","SECRETARY OF STATE","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STATE AUDITOR","Miranda Karrine Joseph","Democratic",47
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STATE AUDITOR","Jim Zeigler","Republican",281
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STATE AUDITOR","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Christy Olinger Edwards","Republican",281
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Chad Hanson","Republican",278
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Terry A. Moore","Republican",276
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Richard Minor","Republican",277
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Chris McCool","Republican",274
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Bill Cole","Republican",277
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PUBLIC SERVICE COMMISSION, PLACE 1","Cara Y. McClure","Democratic",46
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PUBLIC SERVICE COMMISSION, PLACE 1","Jeremy H. Oden","Republican",276
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PUBLIC SERVICE COMMISSION, PLACE 1","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PUBLIC SERVICE COMMISSION, PLACE 2","Kari Powell","Democratic",47
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PUBLIC SERVICE COMMISSION, PLACE 2","Chris ""Chip"" Beeker Jr.","Republican",273
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PUBLIC SERVICE COMMISSION, PLACE 2","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STATE BOARD OF EDUCATION MEMBER DISTRICT 6","Cynthia McCarty","Republican",276
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STATE BOARD OF EDUCATION MEMBER DISTRICT 6","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Shaunathan Bell","Republican",287
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Write-In","No party",2
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Andrew Hairston","Republican",300
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STATE SENATOR, DISTRICT 8","Steve Livingston","Republican",290
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STATE SENATOR, DISTRICT 8","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STATE REPRESENTATIVE, DISTRICT 24","Nathaniel Ledbetter","Republican",292
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","STATE REPRESENTATIVE, DISTRICT 24","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","Yes - Statewide Amendment No. 1","No party",262
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","No - Statewide Amendment No. 1","No party",53
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","Yes - Statewide Amendment No. 2","No party",242
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","No - Statewide Amendment No. 2","No party",72
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","Yes - Statewide Amendment No. 3","No party",182
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","No - Statewide Amendment No. 3","No party",93
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","Yes -Statewide Amendment No. 4","No party",238
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","No - Statewide Amendment No. 4","No party",54
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","CIRCUIT CLERK, DeKALB COUNTY","Pam Bailey Simpson","Democratic",113
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","CIRCUIT CLERK, DeKALB COUNTY","Todd Greeson","Republican",229
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","CIRCUIT CLERK, DeKALB COUNTY","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","DeKALB COUNTY JUDGE OF PROBATE","Ronnie Osborn","Republican",294
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","DeKALB COUNTY JUDGE OF PROBATE","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PRESIDENT, DeKALB COUNTY COMMISSION","Ben Johnston","Democratic",60
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PRESIDENT, DeKALB COUNTY COMMISSION","Ricky Harcrow","Republican",271
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","PRESIDENT, DeKALB COUNTY COMMISSION","Write-In","No party",1
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 3","Chris Kuykendall","Republican",284
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 3","Write-In","No party",0
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","DeKALB COUNTY SHERIFF","John Baker","Democratic",55
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","DeKALB COUNTY SHERIFF","Nick Welden","Republican",290
"Alabama","DeKalb","E_ HIGHLAND FIRE PCT 304","DeKALB COUNTY SHERIFF","Write-In","No party",0
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","STRAIGHT PARTY","Alabama Democratic Party","Democratic",8
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","STRAIGHT PARTY","Alabama Republican Party","Republican",48
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Lee Auman","Democratic",18
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",65
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",1
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","GOVERNOR","Walt Maddox","Democratic",20
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","GOVERNOR","Kay Ivey","Republican",67
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","LIEUTENANT GOVERNOR","Will Boyd","Democratic",16
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",67
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","LIEUTENANT GOVERNOR","Write-In","No party",1
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","ATTORNEY GENERAL","Joseph Siegelman","Democratic",15
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","ATTORNEY GENERAL","Steve Marshall","Republican",72
"Alabama","DeKalb","FISCHER COMM CTR PCT 113","ATTORNEY GENERAL","Write-In","No party",0
